dex_no,name,M-A,M-B,M-C,implemented
569,ダストダス,1,1,1,1
571,ゾロアーク,1,1,1,1
571,ゾロアーク(ヒスイ),1,1,1,1
579,ランクルス,1,1,1,1
584,バイバニラ,1,1,1,1
587,エモンガ,1,1,1,1
604,シビルドン,0,1,1,1
609,シャンデラ,1,1,1,1
614,ツンベアー,1,1,1,1
618,マッギョ,1,1,1,1
618,マッギョ(ガラル),1,1,1,1
623,ゴルーグ,1,1,1,1
635,サザンドラ,1,1,1,1
637,ウルガモス,1,1,1,1
652,ブリガロン,1,1,1,1
655,マフォクシー,1,1,1,1
658,ゲッコウガ,1,1,1,1
660,ホルード,1,1,1,1
663,ファイアロー,1,1,1,1
666,ビビヨン,1,1,1,1
668,カエンジシ,0,1,1,1
670,フラエッテ(えいえん),1,1,1,1
671,フラージェス,1,1,1,1
673,ゴーゴート,0,0,1,1
675,ゴロンダ,1,1,1,1
676,トリミアン,1,1,1,1
678,ニャオニクス(オス),1,1,1,1
678,ニャオニクス(メス),1,1,1,1
681,ギルガルド(シールド),1,1,1,1
683,フレフワン,1,1,1,1
685,ペロリーム,1,1,1,1
687,カラマネロ,0,1,1,1
689,ガメノデス,0,1,1,1
691,ドラミドロ,0,1,1,1
693,ブロスター,1,1,1,1
695,エレザード,1,1,1,1
697,ガチゴラス,1,1,1,1
699,アマルルガ,1,1,1,1
700,ニンフィア,1,1,1,1
701,ルチャブル,1,1,1,1
702,デデンネ,1,1,1,1
706,ヌメルゴン,1,1,1,1
706,ヌメルゴン(ヒスイ),1,1,1,1
707,クレッフィ,1,1,1,1
709,オーロット,1,1,1,1
711,パンプジン(ふつう),1,1,1,1
711,パンプジン(ちいさい),1,1,1,1
711,パンプジン(おおきい),1,1,1,1
711,パンプジン(とくだい),1,1,1,1
713,クレベース,1,1,1,1
713,クレベース(ヒスイ),1,1,1,1
715,オンバーン,1,1,1,1
724,ジュナイパー,1,1,1,1
724,ジュナイパー(ヒスイ),1,1,1,1
727,ガオガエン,1,1,1,1
730,アシレーヌ,1,1,1,1
733,ドデカバシ,1,1,1,1
740,ケケンカニ,1,1,1,1
745,ルガルガン(まひる),1,1,1,1
745,ルガルガン(まよなか),1,1,1,1
745,ルガルガン(たそがれ),1,1,1,1
748,ドヒドイデ,1,1,1,1
750,バンバドロ,1,1,1,1
752,オニシズクモ,1,1,1,1
758,エンニュート,1,1,1,1
763,アマージョ,1,1,1,1
765,ヤレユータン,1,1,1,1
766,ナゲツケサル,1,1,1,1
768,グソクムシャ,0,0,1,1
778,ミミッキュ,1,1,1,1
780,ジジーロン,1,1,1,1
784,ジャラランガ,1,1,1,1
812,ゴリランダー,0,0,1,1
815,エースバーン,0,0,1,1
818,インテレオン,0,0,1,1
823,アーマーガア,1,1,1,1
828,フォクスライ,0,0,1,1
841,アップリュー,1,1,1,1
842,タルップル,1,1,1,1
844,サダイジャ,1,1,1,1
849,ストリンダー(ハイ),0,0,1,1
849,ストリンダー(ロー),0,0,1,1
853,オトスパス,0,0,1,1
855,ポットデス,1,1,1,1
858,ブリムオン,1,1,1,1
861,オーロンゲ,0,1,1,1
863,ニャイキング,0,0,1,1
865,ネギガナイト,0,0,1,1
866,バリコオル,1,1,1,1
867,デスバーン,1,1,1,1
869,マホイップ,1,1,1,1
870,タイレーツ,0,1,1,1
871,バチンウニ,0,0,1,1
876,イエッサン(オス),0,0,1,1
876,イエッサン(メス),0,0,1,1
877,モルペコ(まんぷく),1,1,1,1
887,ドラパルト,1,1,1,1
899,アヤシシ,1,1,1,1
900,バサギリ,1,1,1,1
902,イダイトウ(オス),1,1,1,1
902,イダイトウ(メス),1,1,1,1
903,オオニューラ,1,1,1,1
904,ハリーマン,0,1,1,1
908,マスカーニャ,1,1,1,1
911,ラウドボーン,1,1,1,1
914,ウェーニバル,1,1,1,1
923,パーモット,0,0,1,1
925,イッカネズミ,1,1,1,1
930,オリーヴァ,0,0,1,1
931,イキリンコ(グリーン),0,0,1,1
931,イキリンコ(ブルー),0,0,1,1
931,イキリンコ(イエロー),0,0,1,1
931,イキリンコ(ホワイト),0,0,1,1
934,キョジオーン,1,1,1,1
936,グレンアルマ,1,1,1,1
937,ソウブレイズ,1,1,1,1
939,ハラバリー,1,1,1,1
943,マフィティフ,0,0,1,1
952,スコヴィラン,1,1,1,1
956,クエスパトラ,1,1,1,1
959,デカヌチャン,1,1,1,1
964,イルカマン(ナイーブ),1,1,1,1
968,ミミズズ,1,1,1,1
970,キラフロル,1,1,1,1
972,ハカドッグ,0,1,1,1
979,コノヨザル,0,1,1,1
981,リキキリン,1,1,1,1
983,ドドゲザン,1,1,1,1
998,セグレイブ,0,0,1,1
1000,サーフゴー,0,1,1,1
1013,ヤバソチャ,1,1,1,1
1018,ブリジュラス,1,1,1,1
1019,カミツオロチ,1,1,1,1
